family,configuration,trial,state,parameters,cv_average_precision_mean,cv_average_precision_sd,cv_roc_auc_mean,cv_roc_auc_sd,cv_brier_mean,cv_brier_sd,cv_recall_mean,cv_recall_sd,cv_precision_mean,cv_precision_sd,cv_f1_mean,cv_f1_sd,cv_ap_min,cv_ap_max,duration_seconds,mlflow_run_id
boosting,raw,15,COMPLETE,"{""l2_regularization"": 30.0, ""learning_rate"": 0.029520871277922144, ""max_iter"": 75, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 50}",0.218421066894056,0.004926307835385911,0.6625488055973178,0.008156525807931487,0.09463562518354976,0.00023128775951678974,0.0,0.0,0.0,0.0,0.0,0.0,0.21121386029962674,0.22489273857631822,2.893337,6b31f23ce2eb43eda105d0e1e06feabd
boosting,raw,16,COMPLETE,"{""l2_regularization"": 10.0, ""learning_rate"": 0.032498452018567506, ""max_iter"": 150, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 50}",0.2195335170491571,0.005430978972261321,0.663514022747097,0.008136655416766411,0.09447809511898526,0.00034222542051936253,0.008487363750023773,0.0066335045584770555,0.5073663624511082,0.19559262111331163,0.0165539620131142,0.012699092878886584,0.2112185915500711,0.2260647164195791,3.37054,47fdcdd17a164fdb974ce87de5b76fbc
boosting,raw,17,COMPLETE,"{""l2_regularization"": 30.0, ""learning_rate"": 0.050755371445797115, ""max_iter"": 150, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 50}",0.218938956595537,0.00502428662803718,0.6638278014366271,0.008409471178559728,0.09447506716460005,0.0003450517308077782,0.010185076742433116,0.006176172282262515,0.53002331002331,0.19606760226842138,0.01985916893345055,0.011810971802251194,0.21098577788573375,0.22460993647679894,3.328781,36c80bc004f44476b473b5a7e4cfdb02
boosting,raw,18,COMPLETE,"{""l2_regularization"": 0.0, ""learning_rate"": 0.026985198510014623, ""max_iter"": 75, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100}",0.21861014488640224,0.005203473184094726,0.6624262667420663,0.007973754689863635,0.09464084276235714,0.0002481913626146247,0.0018387553041018388,0.00411158185396001,0.08666666666666667,0.19379255804998177,0.0036011080332409976,0.008052322356647443,0.21139209083478566,0.22580852695101852,2.561608,12a7c8ae5bf1437ea628520b72bc4d80
boosting,raw,19,COMPLETE,"{""l2_regularization"": 30.0, ""learning_rate"": 0.11689408032079947, ""max_iter"": 150, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 50}",0.21816749860529977,0.0037868227796992483,0.6619000634679413,0.007583749680948823,0.09454983852905408,0.00031340967218060226,0.012024933157555973,0.004662231789754376,0.5377941302301703,0.09174407890742296,0.023442057290751626,0.008831990091639848,0.2116198569777593,0.22123113219978296,3.137178,f90970f99b5e424bba542499a847ab63
boosting,raw,20,COMPLETE,"{""l2_regularization"": 30.0, ""learning_rate"": 0.047552248334750226, ""max_iter"": 125, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20}",0.218937709452688,0.005172338996316702,0.6626009950115526,0.008334385713499303,0.09448680999380928,0.0003548874504537397,0.008063235804927172,0.00631673036958807,0.5358606305974727,0.19716170885929118,0.01575587487280592,0.012105572382141468,0.21010187382739565,0.2234793367251719,3.624389,3bfc2344cc0e4e039f4499a09b1cdbde
boosting,raw,21,COMPLETE,"{""l2_regularization"": 10.0, ""learning_rate"": 0.026370362958295087, ""max_iter"": 150, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 50}",0.21994634472247526,0.005248851883592392,0.6638745316241121,0.008011940963325848,0.09447010147121451,0.00032423029118192927,0.006223879894813867,0.006936142376600044,0.5399415204678363,0.20654263761717415,0.012126825709365942,0.013301877179227931,0.21202073431055152,0.22638328153059686,3.462404,dccf580dd8a848eaaaf43983b0029a66
boosting,raw,22,COMPLETE,"{""l2_regularization"": 10.0, ""learning_rate"": 0.02691310346739986, ""max_iter"": 75, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 50}",0.21815663345262992,0.005603728466831987,0.6622899215046069,0.007878911125775592,0.09469673344325617,0.00025554817414998976,0.0,0.0,0.0,0.0,0.0,0.0,0.21076583624700548,0.22621749062599183,2.637812,20382702ebec4fe485dc1fed7c9ef527
boosting,raw,23,COMPLETE,"{""l2_regularization"": 10.0, ""learning_rate"": 0.06570167820577272, ""max_iter"": 200, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 50}",0.21972263445613233,0.004363785151627563,0.6627355562231547,0.008779199485581955,0.09449236072002407,0.00036844639951038043,0.010610005495545005,0.004948600545502107,0.5088177339901477,0.1484271186428387,0.020699806219083506,0.009399406079773088,0.21245072330206974,0.22379678106653664,4.05205,6707de3696e246789f7b4a59245a7f36
boosting,raw,24,COMPLETE,"{""l2_regularization"": 10.0, ""learning_rate"": 0.03738165219785298, ""max_iter"": 75, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100}",0.21950164729314983,0.005359933431636141,0.6632196460678326,0.008125779286781487,0.09452712136014135,0.00030078624044416115,0.0028288543140028285,0.004359557286399559,0.23235294117647057,0.3398936328631351,0.005555167027997296,0.0085269347546585,0.2125057921865148,0.2272208758009712,2.790374,57c389b8c8cd425ba10c79ab146e789e
boosting,raw,25,COMPLETE,"{""l2_regularization"": 0.0, ""learning_rate"": 0.02558813965129123, ""max_iter"": 150, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 50}",0.21896786649848088,0.0053169007599373885,0.6623580024727592,0.007769071724882322,0.09457342151454182,0.0002994818207849686,0.004101838755304102,0.006050707110666885,0.24221824686940968,0.35128629754862484,0.008019281058168789,0.011780338720291729,0.21102368617365624,0.22579520972960143,3.247724,bc30256e0caf43009fe53d6a405d8eda
boosting,raw,26,COMPLETE,"{""l2_regularization"": 0.0, ""learning_rate"": 0.04339135284182621, ""max_iter"": 75, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}",0.22006329271082428,0.006051517024180589,0.6631068374864336,0.008010182339948876,0.09448912205533655,0.0003266054184900333,0.005657908830009479,0.005831620137616329,0.5349999999999999,0.23395749851439065,0.011090557728912334,0.011296923137322532,0.21086411148092815,0.22702499107650426,2.713865,271639afaa9540ddb92e1e71e6572ddf
boosting,raw,27,COMPLETE,"{""l2_regularization"": 0.0, ""learning_rate"": 0.06050173215567547, ""max_iter"": 75, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}",0.21963083523603313,0.005374854424170514,0.6632270607629044,0.007973555567300368,0.09447428350136255,0.0003285886046953714,0.0059411946654174055,0.00528230014349004,0.5571581359816653,0.19913460341082162,0.011636825194340918,0.010139738582508528,0.21144740585110586,0.22618362974367548,2.432891,2efa5a89214b427fada23f199b84ac3e
boosting,raw,28,COMPLETE,"{""l2_regularization"": 0.0, ""learning_rate"": 0.035625823589114404, ""max_iter"": 200, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 50}",0.21963894362919506,0.004697012285454123,0.6623979511668013,0.007991161416114589,0.0944764342146945,0.0003280001005748804,0.009902591715040477,0.006324419735645408,0.5131249407975751,0.11131483553450922,0.01930022065164095,0.012006463211260338,0.21169504455700122,0.22322785908972198,3.722445,1577d9d948e24e4ab2a3cb29ed16681d
boosting,raw,29,COMPLETE,"{""l2_regularization"": 0.0, ""learning_rate"": 0.040124910766420496, ""max_iter"": 125, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}",0.2196867646888287,0.00519257274202514,0.662872217299773,0.007956020838241325,0.09447197605395918,0.00033584273875825416,0.007073036694024271,0.005634858384344298,0.5218518518518519,0.16076164738591475,0.01383715897067824,0.010793104785987126,0.2114856348286728,0.22504860068678206,3.003794,1a2a1230987a4033961e81a3823fdb42
