family,configuration,trial,fold,average_precision,roc_auc,recall,precision,f1,specificity,brier,tn,fp,fn,tp,threshold,mean_probability,prevalence,predicted_positive_fraction,fit_encounters,holdout_encounters,encoded_features,duration_seconds
boosting,raw,8,3,0.21910146710446657,0.6641456348935677,0.0,0.0,0.0,1.0,0.09453900947091586,11299,0,1413,0,0.5,0.11053176955899985,0.11115481434864695,0.0,50851,12712,10,0.47742458299035206
boosting,raw,8,4,0.21009647149290978,0.6624093857175029,0.01272984441301273,0.45,0.024759284731774415,0.998052925037614,0.09484423565521109,11277,22,1396,18,0.5,0.1121527455334937,0.1112247305907339,0.003146385589554,50850,12713,10,0.4456651249929564
boosting,raw,9,0,0.21709786749041793,0.6496737203590259,0.0,0.0,0.0,0.9999114965926188,0.09487532457347714,11298,1,1414,0,0.5,0.11041791829175424,0.1112247305907339,7.865963973885e-05,50850,12713,10,0.6426154999935534
boosting,raw,9,1,0.22170446956582449,0.6697106020441965,0.007072135785007072,0.7692307692307693,0.01401541695865452,0.9997344662772172,0.09442877605211515,11295,3,1404,10,0.5,0.11204625394858515,0.11123348017621146,0.0010226557583385776,50851,12712,10,0.6390884169959463
boosting,raw,9,2,0.22574554870902025,0.6710538050592163,0.0014154281670205238,0.6666666666666666,0.002824858757062147,0.9999115044247787,0.09409704990790665,11299,1,1411,2,0.5,0.1096959763177891,0.11114607095099505,0.00023597891921655,50850,12713,10,0.6449472499953117
boosting,raw,9,3,0.21810994726775199,0.6646615602768647,0.0,0.0,0.0,1.0,0.09444676512597287,11299,0,1413,0,0.5,0.11024795554930829,0.11115481434864695,0.0,50851,12712,10,0.6347961249994114
boosting,raw,9,4,0.2114707203629212,0.6638270363012936,0.01485148514851485,0.4375,0.028727770177838577,0.997610408000708,0.09470893863336068,11272,27,1393,21,0.5,0.11175136056944336,0.1112247305907339,0.0037756627074648,50850,12713,10,0.6338998340070248
boosting,raw,10,0,0.21778679713863264,0.6464040389600261,0.015558698727015558,0.7586206896551724,0.030492030492030493,0.9993804761483317,0.09491067613920996,11292,7,1392,22,0.5,0.11035358543388286,0.1112247305907339,0.00228112955242665,50850,12713,10,0.5308143339934759
boosting,raw,10,1,0.21799681868280868,0.6666524572948911,0.008486562942008486,0.48,0.01667824878387769,0.9988493538679413,0.0945667345980836,11285,13,1402,12,0.5,0.1115573862764299,0.11123348017621146,0.0019666456891126493,50851,12712,10,0.5290032089978922
boosting,raw,10,2,0.222375496088236,0.6642381113428404,0.009200283085633405,0.43333333333333335,0.018018018018018018,0.9984955752212389,0.09426395431336808,11283,17,1400,13,0.5,0.1093845892930056,0.11114607095099505,0.0023597891921655,50850,12713,10,0.5386855420074426
boosting,raw,10,3,0.22249166607586224,0.6628449855616683,0.00778485491861288,0.5,0.015331010452961672,0.999026462518807,0.09426181428458827,11288,11,1402,11,0.5,0.10963563112729831,0.11115481434864695,0.0017306482064191316,50851,12712,10,0.5185789589886554
boosting,raw,10,4,0.2104603467751005,0.6594982244864518,0.02050919377652051,0.46774193548387094,0.03929539295392954,0.9970793875564209,0.09511099366446596,11266,33,1385,29,0.5,0.11230859539148255,0.1112247305907339,0.0048768976638087,50850,12713,10,0.5270508340036031
boosting,raw,11,0,0.21738476105275745,0.6503611239457048,0.0,0.0,0.0,0.9999114965926188,0.09486318218551656,11298,1,1414,0,0.5,0.11041705309786248,0.1112247305907339,7.865963973885e-05,50850,12713,10,0.6330149590066867
boosting,raw,11,1,0.22204879204301958,0.6693480752748668,0.007779349363507779,0.7857142857142857,0.015406162464985995,0.9997344662772172,0.094422557300517,11295,3,1403,11,0.5,0.11203204161036015,0.11123348017621146,0.0011013215859030838,50851,12712,10,0.6437408339988906
boosting,raw,11,2,0.22482490661919205,0.6704765483594186,0.0014154281670205238,0.4,0.0028208744710860366,0.9997345132743363,0.09411340055352442,11297,3,1411,2,0.5,0.10969387375451352,0.11114607095099505,0.00039329819869425,50850,12713,10,0.6383064999972703
boosting,raw,11,3,0.21795679102783366,0.6646021508770763,0.0,0.0,0.0,1.0,0.09445359300742731,11299,0,1413,0,0.5,0.11025935380361457,0.11115481434864695,0.0,50851,12712,10,0.6520800409925869
boosting,raw,11,4,0.2119286957042339,0.6635171491938366,0.019094766619519095,0.5,0.03678474114441417,0.997610408000708,0.09470815363581839,11272,27,1387,27,0.5,0.11180702225235861,0.1112247305907339,0.0042476205458978995,50850,12713,10,0.6523229169979459
boosting,raw,12,0,0.21942265936498037,0.6507143551900865,0.0,0.0,0.0,1.0,0.09478765886431682,11299,0,1414,0,0.5,0.11046854756512167,0.1112247305907339,0.0,50850,12713,10,0.5246952079905896
