model,threshold,recall,precision,f1,specificity,tn,fp,fn,tp,encounters_flagged,encounter_fraction_flagged,patients_flagged,patient_fraction_flagged
boosting__uncalibrated,0.27,0.08405603735823883,0.32142857142857145,0.13326282390269698,0.9780001654122902,11825,266,1373,126,392,0.028844738778513613,246,0.02521266782822589
boosting__uncalibrated,0.28,0.07071380920613743,0.31268436578171094,0.11534276387377584,0.9807294681994873,11858,233,1393,106,339,0.024944812362030905,214,0.021932971200163985
boosting__uncalibrated,0.29,0.06070713809206137,0.3116438356164384,0.10161920714684534,0.9833760648416178,11890,201,1408,91,292,0.02148638704930096,191,0.01957568924874449
boosting__uncalibrated,0.3,0.05203468979319546,0.3107569721115538,0.08914285714285715,0.9856918369034819,11918,173,1421,78,251,0.018469462840323768,172,0.017628369375832734
boosting__uncalibrated,0.31,0.04336224149432955,0.325,0.07651559741024132,0.9888346704160119,11956,135,1434,65,200,0.014716703458425313,128,0.013118786512247618
boosting__uncalibrated,0.32,0.027351567711807873,0.3082706766917293,0.05024509803921569,0.9923910346538748,11999,92,1458,41,133,0.009786607799852833,65,0.006661883775750743
boosting__uncalibrated,0.33,0.02268178785857238,0.3119266055045872,0.04228855721393035,0.9937970391200066,12016,75,1465,34,109,0.008020603384841795,51,0.00522701650097366
boosting__uncalibrated,0.34,0.022014676450967312,0.35106382978723405,0.04143126177024482,0.9949549251509388,12030,61,1466,33,94,0.006916850625459897,40,0.004099620785077381
boosting__uncalibrated,0.35,0.01667778519012675,0.32051282051282054,0.03170577045022194,0.9956165743114713,12038,53,1474,25,78,0.005739514348785872,35,0.003587168186942708
boosting__uncalibrated,0.36,0.01467645096731154,0.3235294117647059,0.028079132099553285,0.9961955173269373,12045,46,1477,22,68,0.005003679175864606,29,0.0029722250691811007
boosting__uncalibrated,0.37,0.01067378252168112,0.3137254901960784,0.02064516129032258,0.9971052849226697,12056,35,1483,16,51,0.0037527593818984547,25,0.002562262990673363
boosting__uncalibrated,0.38,0.01000667111407605,0.32608695652173914,0.019417475728155338,0.997436109502936,12060,31,1484,15,46,0.003384841795437822,21,0.0021523009121656245
boosting__uncalibrated,0.39,0.009339559706470981,0.32558139534883723,0.018158236057068743,0.9976015217930693,12062,29,1485,14,43,0.0031640912435614422,20,0.0020498103925386904
boosting__uncalibrated,0.4,0.0066711140760507,0.2857142857142857,0.01303780964797914,0.9979323463733355,12066,25,1489,10,35,0.0025754231052244297,19,0.0019473198729117556
boosting__uncalibrated,0.41,0.00600400266844563,0.34615384615384615,0.01180327868852459,0.9985939955338682,12074,17,1490,9,26,0.0019131714495952907,15,0.0015373577944040177
boosting__uncalibrated,0.42,0.00533689126084056,0.4444444444444444,0.01054713249835201,0.9991729385493342,12081,10,1491,8,18,0.0013245033112582781,11,0.0011273957158962795
boosting__uncalibrated,0.43,0.004002668445630421,0.5,0.007941760423560556,0.9995037631296005,12085,6,1493,6,12,0.0008830022075055188,6,0.0006149431177616071
boosting__uncalibrated,0.44,0.004002668445630421,0.5,0.007941760423560556,0.9995037631296005,12085,6,1493,6,12,0.0008830022075055188,6,0.0006149431177616071
boosting__uncalibrated,0.45,0.00333555703802535,0.625,0.006635700066357001,0.9997518815648002,12088,3,1494,5,8,0.0005886681383370125,4,0.00040996207850773806
boosting__uncalibrated,0.46,0.00266844563042028,0.5714285714285714,0.005312084993359893,0.9997518815648002,12088,3,1495,4,7,0.0005150846210448859,4,0.00040996207850773806
boosting__uncalibrated,0.47,0.0020013342228152103,0.75,0.003992015968063872,0.9999172938549334,12090,1,1496,3,4,0.00029433406916850625,2,0.00020498103925386903
boosting__uncalibrated,0.48,0.00066711140760507,1.0,0.0013333333333333333,1.0,12091,0,1498,1,1,7.358351729212656e-05,1,0.00010249051962693452
boosting__uncalibrated,0.49,0.00066711140760507,1.0,0.0013333333333333333,1.0,12091,0,1498,1,1,7.358351729212656e-05,1,0.00010249051962693452
boosting__uncalibrated,0.5,0.00066711140760507,1.0,0.0013333333333333333,1.0,12091,0,1498,1,1,7.358351729212656e-05,1,0.00010249051962693452
boosting__uncalibrated,0.51,0.0,0.0,0.0,1.0,12091,0,1499,0,0,0.0,0,0.0
boosting__uncalibrated,0.52,0.0,0.0,0.0,1.0,12091,0,1499,0,0,0.0,0,0.0
boosting__uncalibrated,0.53,0.0,0.0,0.0,1.0,12091,0,1499,0,0,0.0,0,0.0
boosting__uncalibrated,0.54,0.0,0.0,0.0,1.0,12091,0,1499,0,0,0.0,0,0.0
boosting__uncalibrated,0.55,0.0,0.0,0.0,1.0,12091,0,1499,0,0,0.0,0,0.0
boosting__uncalibrated,0.56,0.0,0.0,0.0,1.0,12091,0,1499,0,0,0.0,0,0.0
boosting__uncalibrated,0.57,0.0,0.0,0.0,1.0,12091,0,1499,0,0,0.0,0,0.0
boosting__uncalibrated,0.58,0.0,0.0,0.0,1.0,12091,0,1499,0,0,0.0,0,0.0
boosting__uncalibrated,0.59,0.0,0.0,0.0,1.0,12091,0,1499,0,0,0.0,0,0.0
boosting__uncalibrated,0.6,0.0,0.0,0.0,1.0,12091,0,1499,0,0,0.0,0,0.0
boosting__uncalibrated,0.61,0.0,0.0,0.0,1.0,12091,0,1499,0,0,0.0,0,0.0
boosting__uncalibrated,0.62,0.0,0.0,0.0,1.0,12091,0,1499,0,0,0.0,0,0.0
boosting__uncalibrated,0.63,0.0,0.0,0.0,1.0,12091,0,1499,0,0,0.0,0,0.0
boosting__uncalibrated,0.64,0.0,0.0,0.0,1.0,12091,0,1499,0,0,0.0,0,0.0
boosting__uncalibrated,0.65,0.0,0.0,0.0,1.0,12091,0,1499,0,0,0.0,0,0.0
boosting__uncalibrated,0.66,0.0,0.0,0.0,1.0,12091,0,1499,0,0,0.0,0,0.0
boosting__uncalibrated,0.67,0.0,0.0,0.0,1.0,12091,0,1499,0,0,0.0,0,0.0
boosting__uncalibrated,0.68,0.0,0.0,0.0,1.0,12091,0,1499,0,0,0.0,0,0.0
boosting__uncalibrated,0.69,0.0,0.0,0.0,1.0,12091,0,1499,0,0,0.0,0,0.0
boosting__uncalibrated,0.7,0.0,0.0,0.0,1.0,12091,0,1499,0,0,0.0,0,0.0
boosting__uncalibrated,0.71,0.0,0.0,0.0,1.0,12091,0,1499,0,0,0.0,0,0.0
